sentiment,content
0,"@Lozingsleep Damn, that charming skater look is kind of....HOT! A hot mess  Catherine pls don't hate me for hitting on your friends. tnx"
neutral,is now going to the hairdressers instead of running due to rain
0,Spent the last hour signing yearbooks. I'll miss you guys!
0,i am braid free  i miss thee ... BLOND HERE I COME!!
0,Feels all kinds of not so well right now
neutral,@chrisettefan yep. gotta go  man! i'll ttyl . . . eventually . . . sometime . . . in the future . . . hopefully . . . soon. ~ ~ ~
neutral,can't figure out at what time(french hour) the new moon trailer will be up since I can't watch the MTV movie Awards from Paris... ?
0,All the people I talk to are GONE
neutral,Listening music with my friend
0,@lyricals don't care about my struggles..
neutral,@iheartrendering awww. its cool. i ate too much ice cream
neutral,Took a 4 hour nap after work today and won't be able to sleep all night    This is a bummer
neutral,heading of to spin
neutral,@AprilFilms meh! You should try the one on commercial drive with all the cats
neutral,@gfalcone601 i knew a horse called dollar too
neutral,"I want to go to VP, but no one is willing to come with me."
neutral,"im backkkk!!!!!!!! hungry as hell, havent ate today"
0,@justkaty guess I missed out on more than beer and a good time
neutral,"@etafish my grandpa called, wants to know what you are doing with his hat.. and when you plan to return it"
neutral,Going there....
neutral,@bioncaaa  so thats how u spent ur weekend so far?
neutral,Is working allll weeekend
neutral,last night in newport
neutral,@ficklampa Isn't MSN in this case a lot easier? Hahaha!
neutral,Most experts recommend that you exercise up to 90 minutes most days of the week. (two Jillian videos)
0,as if i finsh work at eleven.. IS THAT EVEN ALLOWD?  cauz i really dont want to.. lol
neutral,@mosaicbooks and now they are one. To become a bigger pain.
0,@krooyakkers what I thought ur going somewhere that's why I didn't invitw u
neutral,@LJsBaby not just me then
0,@aldenpolicar how sad! are you saying that I'm fat?  *tears*
neutral,"@BethTana Sci-fi junkie, gamer, pianist, gin and tonic drinker, and news addict"
neutral,@MOHFANZ Fun times ~ that's my friends beer!  here's the pic'  http://yfrog.com/053agj
0,"Just FYI, RUIN HOLLYWOOD IS CLOSED.  Last Friday was our Closing Night."
neutral,happy mother's day to all mothers out there!!
neutral,"@khad strange, that is exactly the chapter god laid on my heart to read in The Message yeaterday morning...He works in mysterious ways"
neutral,Crawling into my den for the night now.
neutral,Another great song to sing along with....    ? http://blip.fm/~5jhtq
0,@KristinHolder aww i'm sad  i didn't get to go to your going away party!  stupid work!
0,"@natbubba yeah, totally unfair.  we should just. FLAME THEM EVERYWHERE"
0,I am sucking with the abbreviation today. Sorry  My sentences look like my eight year old is typing them. lol
0,dont wanna work 11-830 tomorrow  but i get paid
neutral,@emzyjonas hey hey
0,I just got smashed in the face by a 5th grader thowing a football... Twice. Now I bleed
neutral,@trishastewart - ooh. Don't like horseradish  Any alternatives?
neutral,"I'm so sleepy now...g'night! HAPPY MOTHER'S DAY to your Mother, Mama, Ma, Mommy (whatever you call them. LoL) from Mie!"
neutral,"@scottcmusic I was in row P, but i tried to run down to the front in Corrupted and  i could see you singing away"
neutral,"Come on bell, RING. I want to go outside."
0,@JackAllTimeLow I wish I could go to your melbourne show but my parents won't let me  *cries*
neutral,home bound for mothers day
0,is not running in the Annapolis half marathon this weekend because i failed to meet the registeration deadline &amp; its completely filled
0,Dangit! I just got my Kiss Album in and it's the wrong color.
neutral,@cdlowell Jars was gonna be my answer
0,binstruct suffers from an update of the mib package... and the developer of that package is on holidays
0,the BEST day ever. I met the greatest 10 year olds. but i will never see them again.. AHH. i'll miss them (i saw them 1 hour xD) SAD
0,"@Samm_xx awww, that sucks"
0,Filming at a carnival for my music video... It reminds me of the Cherry Festival that I used to go to back home... Ahhh memories...
neutral,@MichaelMCrowley i saw wolverine too!
neutral,@KablesO I try my best
neutral,"@melaneedark Well, I do what I can for the X spammers watchin'"
0,@RealBlackWidow But but I dun wanna
0,"@HeroBeth That was my entire week!! I didn't get to design once while at my GRAPHIC DESIGN job, only at home doing freelance. Sad."
neutral,@hughsbeautiful Yes yes she is indeed nuts! ... Like me... though i am not rich  Tut x
0,"@joooo No, but Geek Minds Think Alike."
neutral,@PowBam_ If I called your cell phone would you let me talk to your teacher?
neutral,@KRushtC that's because you've been avoiding me.
neutral,Last day in Dijon
neutral,@dbdc Meant to ask how did the other night go? Did you enjoy the fight...did yas have an all-nighter?
0,Tried to do an Audioboo recording but it' distorted due to the high volume  #OBS
0,Tummy hurts
neutral,i wanna go vivid light walk
0,"@0oMiriamo0 but i like the idea going to cinema, but monday...."
neutral,@LucasGo so why are you?
neutral,5 things this Twitterer could do without  http://MikeFrizzi.com/blog/?p=192 SRC @MikeFrizzi / I like this guy.
neutral,is moving out of Nesbitt.
0,Is still tired  due to late nights out and work and has to b up early again 2moro 4 work bad times!
0,Livin on ur own iznt nice at all. I miss my mum
0,disappointed the didnt win teh glasses.
neutral,"@NctrnlBst @dkmashino I could go for some Lulu's or Slanted Door right about now.  Tomorrow is the Farmer's Market, right?"
neutral,Turn over report...done
0,@Enchanted_Myst I am soooo disappointed that that is what he looks like btw! The image is gone
neutral,"@foilplay un cross them please..I was planning on buying a lambo this summer, next stop,, pitsvillle baby...=people carrier"
neutral,@FunkShoi You can save it for next time!!   ? http://blip.fm/~5z2sv
neutral,acho que vou ver roupinhas goticas  -qqq
neutral,@MedBotJinx (OOC: -we'll do it.  )
0,"@nickiminaj Nicklaus!!!!!  Iï¿½m MAD I missed you out in VA last night, I was gonna snatch you up and make you wifey!!! 2009 is MINEE"
neutral,@GiulianaRancic Iï¿½m also watching a movie with friends (twilight)
0,My tummy hurts  go away cramps! I hate chuu!!!!
neutral,is watching one tree hill
neutral,"@kerri_louise Sweet.  My mum wanted to go see that. Then she didn't but I did :L IN the end, we never went to see it. :/ The film is great"
neutral,"The scream of sirens, and three fire trucks going south bound on the highway = I will not get home before 7."
neutral,Is Google Maps not working for anyone else?
neutral,@aljajackson Follow me honey
neutral,time to play
0,"The old internet is fairly boring today, nothing new on it"
0,"@suzbooze I wanna go, but I so freaking broke   Have fun for me"
neutral,"Going to bed, with peter."
0,Poor little MBA is on fire again
0,enjoying the great sunshine.. from indoors.. I don't feel good today
neutral,Good B-movie... Starship Troopers is cool! Citizen
0,My mouth hurts. Wish I could cut my head off
neutral,@chikidracula303 good and you? jeje
0,@itsfrankybitch  dont make me sad... i do agree tho it does need some more of SA's magical lyrics
neutral,@FloFischer check this out: http://tinyurl.com/d44lra
neutral,Came out of my house this morning to the stink of cat poo. I have cats doing their business in my little bit of garden.
neutral,@rominafahem morning romina.
neutral,128 days till beyonce
neutral,is bored Riah fell asleep and now I have nothing to do maybe I will go to bed good night
neutral,No B2G1 for me.  Trying to save cash for next month's vacation.
0,why doesnt he want me anymore
neutral,@musiclove18 the end when they sing this is me and when they sing play my music
neutral,has britney spears  songs all over his Desktop now
neutral,@TwentyFour  what I said!    I'll have to think about it and try again!
neutral,"Hey everyone  Bit of a hectic day for me, just back from the vets, @pradasmith has a bad infection &amp; is staying over the wkend"
neutral,My teratoma has a cavity and is experiencing male-pattern baldness
0,"@harneet @RangitaNandy as a kid, i remember searching with the local video store owner in a godown , got a video tape with fungus badluck"
neutral,"@grentone Likewise. However, what was the comment about originally?"
neutral,"@pntbtrkisses You're welcome. I'm going to repost several times to get the message out, maybe help another dog"
neutral,Spilled chocolate milk in my car
neutral,@Joseph_KHC wooow. lucky XD my break is gonna end. my classes starts @ june 4
0,"Really missing hockey already.  Off for a night in Dtn Naperville.  Can't wait for the day off tomorrow,  I have to work Sunday."
0,@ab_normal Shucks!  Sorry!  Sometimes I get wrapped up in FB and forget to check  how you doin'?
0,feels sick to my stomach and idkk whyy
neutral,@blogviet Hi I have uploaded 5 completely new Chinese Lessons on www.youtube.com/ChineseLearn Please feel free to watch and enjoy
neutral,I wanna be at BEA as well!!!!   #BEA09
0,feels not good at all
0,@meganduffy aww I miss u too! Haven't ate
0,new phone + zero contacts = poo. send me a message with your name so i can save your numbers thanks
neutral,Yooooooo!? What up mates?!
0,@mileycyrus Workin ur crazy sched. has to be tiring..its gotta  be hard being famous  but jus kno u have Bazillionz of fans supprtin u
0,"desktop quad-core Win7 boot time = 2'25&quot;, laptop dual-core w/ SSD Win7 boot time = 0' 13&quot; =&gt; SSD for desktop arrives in 2 days"
neutral,@cats2cats Thanks
neutral,@TheDailyBlonde
0,Evermore &amp; End of Fashion rocks! My poor foot though! oww! injured my foot. not good. will be sore tomorrow.  details to follow  later
0,Mean people suck.
neutral,#Canucks seem to be falling a lot. Must mean they're skating extra hard tonight.
neutral,@halbpro what's wrong with dressing in fifties fashion?
neutral,@missonice join the club
neutral,I'm not here this weekend...  See you monday twitters
0,I just spent 45 minutes at the book store. I only bought one book.
neutral,@virginmedia is there something wrong with the internet in chelmsford? my tv on demad isnt working right and my internet is SUPER slow
neutral,Track &amp; Fiel was proably canceled.
0,Best friend is leaving to go back to school today..I am so sad
neutral,Avoided cinder blocks! Safe in NY area.. But Dantas and porky upset beavs gone
0,@TiwuRayie geez! one time in a row.. patience! good things comes to those who patience. lol. i wish i could sleepover..
0,@anachronous I miss you
neutral,Happy Mother's Day - Happy Motherï¿½s Day  http://tumblr.com/xnx1qyn0j
neutral,and now its raining
0,"I miss @BillieSyadrie I'm sorry for being able to call you when u already sleep  I love you,Have a great trip tomorrow! Send my ? to them!"
0,Hell of a lot to do. But they say you shouldn't complain theese days. Who are &quot;they&quot; and can &quot;they&quot; help me in that case
0,"@angel0712 Oh, I totally want to see Star Trek!  But Kristine had already seen it with her hubby."
neutral,"17 things to do, the last thing on my mind is cleaning up everyone's cake mess"
neutral,"errbody, please check out http://mscaseycarter.blogspot.com. id appreciate it a bunch."
0,Headache of the century coming- I can feel it  Fuck.
neutral,im going to miss khyy so much
neutral,i hate not being able to twitterize on my cell phone  oh well
0,"Dammit, forgot to go canvas shopping today"
neutral,Loong day. In bed cuddling with papabear and watching south park. Yay my bday bbq tomorrow! Can't wait
0,@LoriBartolozzi Oh  I'm sorry  I can't even imagine...although I know it will be reality for me soon
0,@glennbeck Missed your show tonight   Just HAD to go up to Lake Erie and enjoy the quiet!
neutral,"@Teresamerica politicians and celebs have lottsa fun  .. it's just that for SOME of them, FUN is actually ..  SIN"
neutral,"I should learn not to walk all day, and then sprint through sprinklers without stretching."
neutral,Have to go to my old house and finish moving.
neutral,"@DamoDarko yep, i wish they were all playing dubiln"
neutral,to all mothers out there... or even soon to be mothers &gt;8D happy mother's day y'all
neutral,@chaoszac *fretful look* Okay. But I think it's mumbling something. It's a bit muffled under the hat but it sounds like &quot;I need Lactose&quot;.
neutral,is wishing that i could be famous for acting and dancing
neutral,@Kacey3 I didn't read the details so that may be it. Sara Jayne is a kid's show so it can't be that exciting.
neutral,@rockingla Thanks  New work will arrive in a few weeks
0,@ThatKadyGirl every day of my life lately.    i feel ya girl &lt;3
0,@TheEllenShow Ellen..why you got to lie?   I'm so sad rite now.
neutral,watching 3rd JONAS ep.
0,in accounting class ; then detention after
0,"It is so miserably hot, the a/c in my house is broken"
neutral,dang ya'll mothers day already. goodnight twitter world. i start shooting monday.
neutral,@SarcasticLeaves Iiight thanks.
0,Jenn jenn jenn oh why oh why won't u pass on ur iTunes knowledge onto me?
neutral,@MarcHaduch Your DM never sent
neutral,@heyystephieee AGAIN AGAIN.
neutral,@AB_recordings Alas no - this is all occuring in an office in central London...
neutral,"@caseorganic But Iï¿½m for smaller companies rather than bigger ones. Itï¿½s not like I have worked at a big company to prove it, though"
neutral,@vcha you should say mlia instead of fml  i hope you find it soon
0,"@lobsterandswan Itï¿½s a beautiful blog, but Iï¿½m not able to acess it anymore!!"
neutral,STEP 1: be a photoshop expert  http://plurk.com/p/ros47
neutral,forgot my phone at home
0,absolutely gutted that i'm not going to badu tonight.  you guys have fun...! just got home and need to head downtown now. gd this heat!
0,"@mmitchelldaviss mitchell i tryed to add you on xbox live lastnight during when i was in your live show, but your friends list is full"
neutral,@samsmith2709 aww
0,I think shopping solves the world's problems. If only I didn't have to leave Atlanta tomorrow
neutral,@danbimrose That's more than ok. Personally I'm very good in doing nothing
neutral,So my life has come down to nothing more then making choices ill only regret later
neutral,@stephbabiak have fun on your day off!
neutral,0
neutral,No Westin discounts?  @AnimeExpo Anime Expoï¿½ 2009 Provides Additional Discounts for Hotels: http://anime-expo.org/?p=2396
neutral,I had a small tweetbreak from twitter I think I needed it
neutral,@drhett Not yet. I hope to check it out this week.
neutral,@Roy_Thomas ahhhh probably will...not good  u been Dubai before??
neutral,way to not wait for me at my locker nd then just pass me in the hall nd not say anything
neutral,makin tea an its stressin me out
0,i used to have an ozzy osbourne pillow. my mom threw it out. i miss that thing.
0,@cecamy it's nto as good
neutral,@rockeye You are always amusing.
neutral,"@lickmycupcakes specifically, like these  http://i36.tinypic.com/mwz6uo.jpg (also i adore this outfit http://tinyurl.com/q63obq yum)"
0,ahhhh now i have no pic
neutral,"@challyzatb Thankyou, yes. Off to a pre-wedding party now."
0,@peapodann the second i hit reply to that tweet i was asked to stop playing music.  i am now sad. someone sing to me. on or off key works!
neutral,"Melbourne - Toyota - Coaster - 1975 - $14,950  - new ad received and will be posted on the HCC site soon"
neutral,I miss laughing till my stomache hurts
neutral,I hate my arrival in the employee parking lot!
0,"Bike trail - 1, Miss J - 0, two front teeth - 1 1/2.. Hopefully! Vacations suck!"
0,"oooh battlestar galactica is on the other channel. it's the rebellion episode! man, i feel so sad about what became of gaeta.  i liked him"
0,I worked at a car plant once..nobody believes me though. I repect all the hard workin folks in the world.
neutral,"@MariahCarey she said, UR NAILS LOOK LIKE SHIT WHO DID THIS?! LOL, im kidding, i dont know what she is saying haha"
neutral,"am fost la Obosession....a fost cam trist, ca am fost singurul treaz..."
neutral,18 hours to work....*cry* i can't survive!  // Weeelcome to my wonderland *sing along*
0,skype call with billie but my webcam dont work
neutral,@sleepydumpling yeah I'm fine not to raid most things. Excepting liquor and cheese &amp; bacon balls
0,"at the risk of sounding like a whiny child, I gotta say...I WANNA GO HOOOOOOOOOOOOMEEEEE!!! Ugh."
0,has such a freakin migraine
0,bye bye South Beach....u never let me down
0,is going to her last full day of school. life is good.
0,@elf_princess69 hehehe! Barry Killer! U need a pic
neutral,@PGATOUR Dang I should have stuck with him in my fantasty picks
0,photography class over summer cancelled. going somewhere i dont want to and missing the spring game  and no email from eric swist
0,In Seattle Washington....im SOOOOO hungry&amp;i miss alaska
0,Is going to miss Reemer for a couple of months now the tour is over
0,apparently you are not getting on anymore... sad
0,"at work.. missing my miami fam @anywayz, @abigaildsouza, @mrohboy32, carolina, jonathan, @Prtyprincess, @JessDosil &amp;&amp;&amp; more"
neutral,Screw it I'm going shopping. I'll be back by like 3 anyway and then I'll do hard core revision
0,sweaty and tired from the 6 lap run.  gonna do sun run next year no matter what.
0,I is so lonely
0,Today is going to be a normal day for I hope. We had a group of pilots from a large airline come in last night so it was too much drink
0,"Whoa, I didn't mean to sleep for more than an hour"
0,Really wants to buy new clothes
0,@wojo4hitz @marchingstars @winkiedinkie @erockett89 Now I feel left out...  All alone in AZ...lol
neutral,@JonathanRKnight Thanks
0,Puzzled by people's mood swings... it makes me somewhat sad that I can't pinpoint  how  they feel
neutral,"@rose_ville  yay green!  It certainly makes all the rain worth it.  And it's nice and cozy being indoors, knitting"
0,"@julnas But then you might end up like that poor bus driver...  And, this is kinda weird, but I wish I was there today! :o"
neutral,In gym doin it up in paddle ball!!!!   xo.
neutral,@tommcfly tom do u have plans to germany?  answer this for ur germany fas
0,this day has beasted me.
neutral,Well it almost was a good day... Guess I just retry tomorrow
neutral,Eating ice cream at swensens
neutral,@ilhongy would get u some if u were here
0,Looks like my Twitter is down
0,sad day!!!!! Love you Maï¿½ (8 years ago!)
neutral,@mikeyway http://twitpic.com/4vw9a - lol wow I'm watching X-men: The last Stand right now too
neutral,Changing Guitar strings.. Getting Ready To Perform 'THE CLIMB' at my cousins birthdayy
neutral,@lady_jane   hope yours will go away quicker than mine (10 weeks now and counting)
neutral,@craigmcgill Actually maybe not - it's sold out for Sat lunch
neutral,Is sooo waking both of them up on my way back to SB  good night america
neutral,Surgery when I wake up
0,I feel so deflated. No more doggy.
0,@Sweet_Charlotte We should! There will be another thrown I'm sure but this one will be with my American family
neutral,if aint Bee then it aint me...ya heard me?  {this for u keemie}
0,"is locked out for the house! shit, thank god there's internet..."
neutral,"@yourself_onfire I think Letitia is still trying to upload the digital, they were having problems before. I am sure she will let us know"
0,Will miss my baby for 2 days
neutral,@msegers Thanks! Good morning
neutral,@Chris_Hayward go two way mirrors
neutral,today has been the longest day EVER! going to sleep.. beach bound tomorrow  good night twitter
0,... Still feelin like blah... 3 more hours
neutral,@declercq I thought you might like that  Getting ready to see me in a few weeks?
neutral,"@wylthenemesis nope not going be able to finish it tonight, got a few other things to do before bed"
neutral,"@sueandsteve Wow, thats quite the trip!"
neutral,@cypher Thanks!
0,Drag me to hell soundtrack from Christopher Young is delayed from june 2nd to july 7. That's SUCKS pretty bad.
0,Craving munchkins so bad.
neutral,Going to the airport
0,going to sleep now...5/10/09 &gt; Happy Mother's Day...&amp;...Happy Birthday to ME!!!
0,@GatorsNow my feelings are hurt
neutral,@20somethingnl:20somethin' single
neutral,"Just sneezed three times in quick succession. But three is not four, so no record."
0,theres nothing worse than working on a friday night and having to wake up at 6 am on a saturday. I want my babe
neutral,Ha that was cliche.
0,@AsherUK i wanted to go for my birthday...
neutral,I realised that many people are not interested in doing business on Twitter - they just want to be heard online  Nothing more
neutral,need more songs to download. suggestions? ill take anything
0,Field day is sad. No ribbons for me.
neutral,@slighter Thank you!
neutral,@kendraamichelle  hi kendra whats up? follow me
neutral,@allysonrobinson I am working my way through a bottle of Excedrin. Maybe we are twins.
0,graandma's houseee  i havee too leave now! &lt;3
0,I have no friends
neutral,Two day hangover
neutral,"@TiffLacey of course, always here for you"
0,Stuck on the 710 ... Going to my 2nd job ...  ... Why can't I find a good office job???
neutral,is going to Rye House Speedway
neutral,Can't wait to go home to eat. Hope it's something good!
0,my teeth and head hurts
0,@Penguin_J heehee. i love you! i am tired.
neutral,Aww When Love Is Gone is playing on shuffle
neutral,@mileycyrus i dont think you can vote anymore! i tried
0,Nice days like this make me miss Alki
0,tonights been boring!
0,@Beckinelson idkk if il get to see it again
neutral,@moossacre lol - funny thing is - I don't even know what class or even race half of the people in our group are   yes - I am THAT clueless
neutral,@LaSandraC ya'll going out without me
0,Shaw guys are over when I want to be sleeping
neutral,@sheilasela shelaaaaaaaa
neutral,He's off!
0,"Has so much to blog, but has no time to"
0,"@ChrisBrownWeb According to Bow Wow (his best-friend) Chris is not on Twitter, and doesn't want to be : / Because of haters probably"
0,No one wants to sit with me at lunch  I guess I'll just bury my head in my laptop and continue to be anti-social.
0,My cat died of kidney failure during my math test  This day needs to get better.
neutral,Flat tire city
neutral,"@syafique ooh maggi goreng. yums. i cant eat, sore throat cmin"
neutral,@jimsissy end count  *hangs head lower*
0,Another Friday night in. Man being skint is rubbish.
0,Why Telstra Why do you are biggest Teleco have to be so greedy  we need fast Internet and NO Download Caps!
0,Wishes you had teased me with movie night
neutral,"#millsthemusical  @lauzzaa i hope you've listened to some of these songs, they are so funny :L. i still haven't heard about ticks  x"
0,@Spiffums I wasn't near him.
0,"the downside of getting TDL 3 days early is that i won't have time to read it til next week anyway!  but still, hurrah *clutches it close*"
0,Apparently it's 21 degrees in Kilkenny now! And some comedy would be a great remedy to my boredom! Why the hell did I leave Kilkenny!?
neutral,happy mother's day!!!
neutral,Might be in the middle of a perfect weekend...
neutral,"@OMSVU ... Thanks Okiebud!  I get the message..Sorry, the content you selected is not currently available.."
neutral,@AmyFroebel Nope. Just come back to CT
neutral,@mellonikan thank you
neutral,@xbron http://twitpic.com/41dbn - :o I See Your Dog..  Bella..?
neutral,i`m so tired
0,"Well thats me for the day, watching Panthers tonight beat the Saints (fingers crossed) cause there are no QLD teams playing this round"
0,Missin my boo
0,feels sad coz i wasnt able to play with the guys!!!  http://plurk.com/p/wxiux
neutral,is tired. And turning off the Internet. You can play on it in the morning.
0,"Man, my sinuses r really buggin me this morning"
neutral,watching Destrey videos
neutral,"FOR @john_b_waters and  @mr_suh, you must read that please http://bit.ly/nPpiV"
neutral,hasa Lemon Cake in the oven and is going on to make Pork Casserole  Domestic or what!
neutral,@aprilyim thats real geek talk! haha...I feel you!
neutral,@savagemic @MailChimp hired all the smart monkeys for e-mail marketing...
neutral,@_Cantus_  all i hear is coffee brewing at my end
neutral,@adelinaxx YAY to som1 i no on twitter...slowly slowly rest of the grade will come around...hah  i hope ur ready for my constant tweets!!
0,mcdonalds mccafe tastes like chewin on a cigarette butt.  I miss my sonic card
0,@Kristie999 same. Was going to try warm milk but I'm lactose intolerant  haha.
neutral,Smiling!  These guys are!    Turn up your speakers and SMILE~life is good! http://www.imtiredonline.com/smile/
neutral,Tomorrow is house shopping...
neutral,@annyo84 we will!  we shall meet somewhere between utah and indiana.
neutral,Dinner &amp; shower time...then back to revision  5 days left!!!!
neutral,@CBrown7785 I want some ice cream
neutral,"@paulmorrisTIM Cheapest copy of Purusha's Divine Androgyne on Amazon, $140."
neutral,@leifwells what time is our conference call??
neutral,*old me's dead and gone*
neutral,@farrahdy take a medicine
0,put my dog to sleep  I love you abby RIP&lt;3
neutral,LOOOVE the comedian in Obama! hahaha . man  I love this event. Someone get me a pic of Dennis Leary and his wife
neutral,Is at work  ohwell need money so : D
neutral,just installed youtube downloader  anyone knows how to make a trailer out of videos??
neutral,@deejaychips i havent laid my verse yet...
neutral,"@hookbill YAY! Thanks for the #followfriday. #FAILFriday is still winning, though."
neutral,morning tweat tweat twitter
neutral,A movie's worst fate used to be &quot;Straight to DVD&quot;. Now it is &quot;Straight to DivX&quot; or &quot;Straight to Internet&quot;
0,@zhighlife people r weird
0,"@Jennifalconer how tough was that, just wanted to hug her like my own"
0,i hate when i paint my nails because then i cant suck my thumb because it tastes bad
neutral,@LittlestarRed SIGH  How are you?
neutral,"If you wanna read something, I recommend  http://estrella05azul.wordpress.com/"
neutral,crash in Qmbol
0,I'm havin the stupid stomach pain again &amp; again... Today is my outing with SPH frenz &amp; my stomach nvr fails to dissappoint me. Haiz
0,@emaxio still @ the courthouse!     Happy to have a job... sad its this one!
0,@TheNewBradie my tvs not working  i wanna watch vhits :'(
0,paper work on a friday afternoo
0,taking care of sick children
0,"@jerrib247 sorry mom! I didn't mean to. I shouldn't have tweeted that, you are already having a hard day  Love you!"
neutral,@BADDESTnLA I'm in traffic on the 405 and I still don't see the sun
neutral,going to hannah movie @ 6.30
neutral,off to bed for the night. goods night everyone
neutral,"Good morning universe, how are you today"
neutral,"@dannycastillo We want to trade with someone who has Houston tickets, but no one will."
neutral,let me dream about my spock now goodnight
0,@mumalot I corrected myself
0,2orw!!!!! Nooooooo I want to go back to Newcastle!!!!
neutral,@MichelleZen you need to follow me so I could send you a direct message.
neutral,"@DavidArchie if there is a tesco nearby, then go there"
neutral,@HannaG87  There you go.
neutral,Hates being sat around alone on a Friday night. big sad old loser
neutral,we'll be visiting my grandparents later. BTW i just heard katy perry's HOOK UP whew so cool i love it more than k.clarkson's version
neutral,movie then sleep! Today was good day  [{H!--D3ff}]
neutral,"@tiaratara123 yeah, not meant to be"
neutral,"@justinderekrich Good morning nyc! If I weren't broke, I would have landed there yesterday afternoon."
0,@nataliejanette Im so jealous that Im not going to blogher
0,i'm sad...i'll miss you grandma angie.. you were always like a 3rd grandma to me..
0,"@marnixtfn Ahahahah, hello to you and welcome on twitter ^^ Got the hang of it already?  xx"
neutral,@hilarylanders I know  I think I'm like dieing!
neutral,@tommcfly Please don't forget french fans ! We are HERE !
neutral,"This is my new College project, i just wanted to share it  Hey Mr Bartender - College Project http://bit.ly/Ba3Nf"
neutral,@LukeDennehy Good to hear  I have a feeling though the 'behind the scenes' and/or being there is better than what is shown on TV!
neutral,"@StitchinSista It happened to me the other day (customer asked me to ship to her work address), I sent her another one"
0,dinner was yummy and all... but i'm still super tired after all the things we went through to enroll for college.
neutral,@dinuks switch to something else then
neutral,omg... i want full JB- hey baby song
neutral,@danielbowen Just saw you on ABC News - wife and I are having a &quot;discussion&quot; as to where you were. Nunawading or elsewhere?
neutral,@smartinez I'll be at the new movie showing at the franklin on Thursday night.  several of the SLA faculty will be in attendance.
0,@unitechy wud like to. But I actually have a free weekend this time and family is visiting. so I'm staying put. next time
0,SEe waT I Mean bOuT FoLL0w fRiiDaYs... It'S cALLed LoSe f0LloWeRs FridAy... smH
neutral,"Upshot: If they want to hunt you down... uhh... well, I wish y'all the best of luck, tweeps!"
0,Ooh hayfever has struck..thought I was going to avoid it this year but nooo!  Remedies anyone...?
0,Why don't we close the library due to the great weather?  And the ac isn't working  #fb
neutral,I need to memorize julius caesar lines
neutral,"@PotFace Yeah, you're right"
neutral,@aminakader my thoughts exactly
0,I want korean bbq so baddd but no one can come with me
neutral,"in case you missed it on my fb status: looking for maui hotel recommendations. yes, maui!"
0,Bah a coworker ran into work late and her bag smacked into my knee  it really hurts now
0,Long day at office again. Tiring week
neutral,Is feelin right rite now
0,nooooooo  sue is retiring  no no no no!
neutral,@regularjen thanks!
0,Being bored is always so much more fun with a companion. Missing my bff alreadyyyy!!!!
neutral,"OK, It's my 1000th Tweet  I'll use it to simply say &quot;Thank You!!&quot;. I've met some of the most giving/caring people on Twitter!"
0,"@JonathanRKnight I wish I was there.I've just moved from San Diego to WA and I'm very depressed, I miss sunny San Diegoooooooo!!"
neutral,@Flutechick728
0,@nkirchmar I have 30 minutes to go! Then a 3 day weekend leading up to my birthday on Tuesday. I have to work on my birthday.
neutral,@PastimeDaily   Oh dear - Boyle is staying ...
0,Its so sad
neutral,Counting the hours of lost sunshine until the Weekend
neutral,tino hat ne wii
neutral,@penelope_mills  better than a spider or some type if Australian wildlife one would imagine
neutral,"Eh, I've had better. I'm excited to see ryan hurley tomorrow"
0,We're all a little upset cause Stephanie didn't bring brownies today.
neutral,fuck maaaaannnn.. its holidayzzzzz...
0,"unopened pack of goat cheese starin me in the face. starving, din not til 6"
0,"@Annie713 It's ugly and gray outside even in San Diego. Not too cold, will get to 70, but May-gray June-gloom for us all"
0,I just lost my favorite pen  good thing I have a back up =D
0,god... im suffering greatly... having no hair + sitting in blazing sunshine = v v bad sunburn
0,@mitchelmusso i can't i can't i can't  i'm sad.... i'm from venezuela!
neutral,and to james's we go!
neutral,In the Hongkong International Airport. Has to wait for 3-4 hours for our next flight to Cebu.
neutral,Planing on going on a little ride on the mtb on monday  may be in over to the tower...
neutral,"@IdeasCulture w00t, have a red wine now"
0,@Galaraza stop being mean to me!! ur hurting my feelings
neutral,@missfree hey free
neutral,@richard1988 because you saved the frog. I thought I replied to that so it would make sense. so how does twitter work?  gehts abi gut?
neutral,@TheLonely California
neutral,On train with at least two gaggles of teenagers sitting &amp; the commuters squished standing in the back...at least the teenagers let me sit
neutral,its Monday and all is good
neutral,@remiransom i wanted to see that.  enjoy it!
neutral,Now I'm at a doppppe rock show in the LES .. Moshie moshhhh pit  http://twitpic.com/4wkhi
neutral,@CookingGranny morning
neutral,"@Diond408 ooooo I was/am using the iPhone version, I just use the web and sometimes twidget on my mac"
neutral,@robinjection well maybe someone will care
neutral,"sociology is done, english and biology left... i'm going to DIE"
0,@sonicsalamander Sorry 'bout the migraine.  Did I mention I really liked your Cissbury (sp?) pic last week?
neutral,@benald Hi I have uploaded 5 completely new Chinese Lessons on www.youtube.com/ChineseLearn Please feel free to watch and enjoy
0,Why do my friends feel as though they don't need to bring gifts to my house warming...A mess
neutral,I wanna listen to the full Send It On
neutral,@emzyjonas i know they r lol i hope she does she said she will
neutral,Whoishonorsociety &lt;never wear your pajama pants to school  &gt;
neutral,@lombers www.WhisperGifts.com for bridal registry  dm me for a free premium account.
neutral,@princess_oats this is happening to me too
neutral,gm! me with @doox  now @ http://podilates.gr/pp2_10_5_08
